"BOOKING ID","BOOKING DATE","ORIGIN","BOOKED OFFICE","DESTINATION","DIRECTION","AIRPORTS","GATEWAYS","TRIP TYPE","ITINERARY TYPE","VALIDATING CARRIER","MARKETING CARRIERS","OPERATING CARRIERS","DEPARTURE DATE","ARRIVAL DATE","BOOKING CLASS","FARE BASIS","ADT","CHD"
"97463258","2018/4/8","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/9/12","2018/9/12 20:50:00","T","TLNCRTUS","170","0"
"97463592","2018/4/9","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/6/17","2018/6/17 20:50:00","I","ILNCRTUS","510","0"
"97463809","2018/4/9","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/11/28","2018/11/28 20:25:00","T","TLNCRTUS","85","192"
"97464076","2018/4/9","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/11/28","2018/11/28 20:25:00","T","TLNCRTUS","85","0"
"97475999","2018/4/9","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/15","2018/6/15 20:50:00","L","LLNCRTUS","310","0"
"97476621","2018/4/9","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/15","2018/6/15 20:50:00","L","LLNCRTUS","310","0"
"97776342","2018/4/13","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2019/1/2","2019/1/2 20:25:00","T","TLNCRTUS","255","64"
"97833232","2018/4/13","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/8/26","2018/8/26 20:50:00","T","TLNCRTUS","85","128"
"97834722","2018/4/13","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/8/26","2018/8/26 20:50:00","T","TLNCRTUS","85","0"
"97907002","2018/4/14","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/10","2018/6/10 20:50:00","H","HLNCRTUS","210","0"
"97958552","2018/4/14","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/9/16","2018/9/16 20:50:00","Q","QLNCRTUS","240","0"
"98272462","2018/4/16","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2019/1/2","2019/1/2 20:25:00","T","TLNCRTUS","595","64"
"98405782","2018/4/17","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/6/24","2018/6/24 20:50:00","K","KLNCRTUS","315","0"
"98427812","2018/4/17","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/11/23","2018/11/23 20:25:00","T","TLNCRTUS","170","0"
"98557422","2018/4/18","PPT","ATL1S211S","SFO","INBOUND","PPT,SFO","PPT,SFO","transpacific","one-way","BF","BF","BF","2018/6/18","2018/6/18 17:55:00","Q","QONCRTUS","508","0"
"98591642","2018/4/18","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/8/19","2018/8/19 20:50:00","H","HLNCRTUS","210","0"
